parent,child,weight
188,179,0.915937
179,122,3.51923
122,19,1.0518
19,18446744073709551615,0
122,80,0.855977
80,15,0.195818
15,18446744073709551615,0
80,17,0.195818
17,18446744073709551615,0
179,109,3.9458
0,18446744073709551615,0
109,87,0.387096
8,18446744073709551615,0
1,18446744073709551615,0
188,186,0.171664
163,153,0.600388
153,135,0.715274
7,18446744073709551615,0
4,18446744073709551615,0
153,59,1.90176
3,18446744073709551615,0
6,18446744073709551615,0
163,70,2.46058
70,58,0.0416955
9,18446744073709551615,0
5,18446744073709551615,0
2,18446744073709551615,0
186,98,4.959
98,96,0.00943018
96,95,0.00699771
95,18,0.339871
18,18446744073709551615,0
95,12,0.339871
12,18446744073709551615,0
96,11,0.346869
11,18446744073709551615,0
98,81,0.15952
81,13,0.196779
13,18446744073709551615,0
81,56,0.0817723
56,16,0.115007
16,18446744073709551615,0
51,10,0.0831963
10,18446744073709551615,0
51,14,0.0831963
14,18446744073709551615,0
