nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,9.43526e-06,1953.86,0,0,1,0,1,,
1,0,9.43526e-06,744.185,0,0,1,0,1,,
2,0,9.43526e-06,492.742,0,0,1,0,1,,
3,0,9.43526e-06,362.844,0,0,1,0,1,,
4,0,9.43526e-06,4070.62,0,0,1,0,1,,
5,0,9.43526e-06,362.443,0,0,1,0,1,,
6,0,9.43526e-06,362.844,0,0,1,0,1,,
7,0,9.43526e-06,4070.62,0,0,1,0,1,,
8,0,9.43526e-06,744.185,0,0,1,0,1,,
9,0,9.43526e-06,362.443,0,0,1,0,1,,
10,0,9.43526e-06,259.988,0,1,0,1,0,,
11,0,9.43526e-06,1083.97,0,1,0,1,0,,
12,0,9.43526e-06,1062.1,0,1,0,1,0,,
13,0,9.43526e-06,614.935,0,1,0,1,0,,
14,0,9.43526e-06,259.988,0,1,0,1,0,,
15,0,9.43526e-06,611.933,0,1,0,1,0,,
16,0,9.43526e-06,359.396,0,1,0,1,0,,
17,0,9.43526e-06,611.933,0,1,0,1,0,,
18,0,9.43526e-06,1062.1,0,1,0,1,0,,
19,0,9.43526e-06,3286.86,0,1,0,1,0,,
51,259.988,9.43526e-06,99.4078,99.4078,1,1,1,1,,10;14
56,359.396,9.43526e-06,255.539,255.539,1,0,1,0,,16;51
58,362.443,9.43526e-06,130.298,130.298,0,0,0,0,,9;5
59,362.844,9.43526e-06,5943.01,5943.01,0,0,0,0,,3;6
70,492.742,9.43526e-06,7689.32,7689.32,0,0,0,0,,58;2
80,611.933,9.43526e-06,2674.93,2674.93,1,0,1,0,,15;17
81,614.935,9.43526e-06,498.501,498.501,1,0,1,0,,13;56
87,744.185,9.43526e-06,1209.68,1209.68,0,0,0,0,,8;1
95,1062.1,9.43526e-06,21.8678,21.8678,1,0,1,0,,18;12
96,1083.97,9.43526e-06,29.4693,29.4693,1,0,1,0,,95;11
98,1113.44,9.43526e-06,15496.9,15496.9,1,0,1,0,,96;81
109,1953.86,9.43526e-06,12330.6,12330.6,0,0,0,0,,0;87
122,3286.86,9.43526e-06,10997.6,10997.6,1,0,1,0,,19;80
135,4070.62,9.43526e-06,2235.23,2235.23,0,0,0,0,,7;4
153,6305.85,9.43526e-06,1876.21,1876.21,0,0,0,0,,135;59
163,8182.07,9.43526e-06,8428.26,8428.26,0,1,0,1,,153;70
179,14284.5,9.43526e-06,2862.3,2862.3,0,0,0,0,,122;109
186,16610.3,9.43526e-06,536.451,536.451,0,0,0,0,,163;98
188,17146.8,9.43526e-06,0,0,0,0,0,0,,179;186
