nodeNumber,time,sitePosition,branchL,branchL_Informative,context_pop,context_inv,original_context_pop,original_context_inv,baseStates,descendantNodeNumbers
0,0,5e-06,77.2858,0,0,0,0,0,,
1,0,5e-06,75.4255,0,0,0,0,0,,
2,0,5e-06,47.4932,0,0,0,0,0,,
3,0,5e-06,52.0743,0,0,0,0,0,,
4,0,5e-06,52.0743,0,0,0,0,0,,
5,0,5e-06,47.4932,0,0,0,0,0,,
6,0,5e-06,75.4255,0,0,0,0,0,,
7,0,5e-06,1610.06,0,0,0,0,0,,
8,0,5e-06,806.916,0,0,1,0,1,,
9,0,5e-06,550.119,0,0,1,0,1,,
10,0,5e-06,39.176,0,1,0,1,0,,
11,0,5e-06,11.4578,0,1,0,1,0,,
12,0,5e-06,319.192,0,1,0,1,0,,
13,0,5e-06,319.192,0,1,0,1,0,,
14,0,5e-06,641.607,0,1,0,1,0,,
15,0,5e-06,11.4578,0,1,0,1,0,,
16,0,5e-06,39.176,0,1,0,1,0,,
17,0,5e-06,1362.07,0,1,0,1,0,,
18,0,5e-06,327.127,0,1,1,1,1,,
19,0,5e-06,300.157,0,1,1,1,1,,
20,0,5e-06,14.7129,0,2,0,2,0,,
21,0,5e-06,271.918,0,2,0,2,0,,
22,0,5e-06,44.4564,0,2,0,2,0,,
23,0,5e-06,238.339,0,2,0,2,0,,
24,0,5e-06,14.7129,0,2,0,2,0,,
25,0,5e-06,264.18,0,2,0,2,0,,
26,0,5e-06,46.0361,0,2,0,2,0,,
27,0,5e-06,22.7604,0,2,0,2,0,,
28,0,5e-06,44.4564,0,2,0,2,0,,
29,0,5e-06,22.7604,0,2,1,2,1,,
30,0,5e-06,167.593,0,3,0,3,0,,
31,0,5e-06,221.161,0,3,0,3,0,,
32,0,5e-06,118.538,0,3,0,3,0,,
33,0,5e-06,16.1442,0,3,0,3,0,,
34,0,5e-06,16.1442,0,3,0,3,0,,
35,0,5e-06,328.092,0,3,0,3,0,,
36,0,5e-06,328.092,0,3,0,3,0,,
37,0,5e-06,99.0172,0,3,0,3,0,,
38,0,5e-06,99.0172,0,3,1,3,1,,
39,0,5e-06,50.0465,0,3,1,3,1,,
73,11.4578,5e-06,708.693,708.693,1,0,1,0,,15;11
79,14.7129,5e-06,31.3231,31.3231,2,1,2,1,,20;24
81,16.1442,5e-06,33.9023,33.9023,3,0,3,0,,34;33
96,22.7604,5e-06,241.42,241.42,2,0,2,0,,27;29
126,39.176,5e-06,260.981,260.981,1,0,1,0,,10;16
139,44.4564,5e-06,227.461,227.461,2,0,2,0,,28;22
146,46.0361,5e-06,192.302,192.302,2,0,2,0,,79;26
150,47.4932,5e-06,975.146,975.146,0,0,0,0,,5;2
156,50.0465,5e-06,171.114,171.114,3,1,3,1,,39;81
161,52.0743,5e-06,25.2116,25.2116,0,0,0,0,,3;4
217,75.4255,5e-06,70.689,70.689,0,1,0,1,,6;1
222,77.2858,5e-06,68.8287,68.8287,0,0,0,0,,161;0
275,99.0172,5e-06,19.521,19.521,3,0,3,0,,37;38
337,118.538,5e-06,49.055,49.055,3,0,3,0,,275;32
422,146.115,5e-06,404.005,404.005,0,0,0,0,,217;222
488,167.593,5e-06,629.653,629.653,3,0,3,0,,30;337
609,221.161,5e-06,576.085,576.085,3,1,3,1,,31;156
645,238.339,5e-06,52.9182,52.9182,2,0,2,0,,23;146
697,264.18,5e-06,1242.86,1242.86,2,0,2,0,,25;96
710,271.918,5e-06,19.3389,19.3389,2,0,2,0,,21;139
744,291.257,5e-06,1215.78,1215.78,2,0,2,0,,710;645
764,300.157,5e-06,26.9704,26.9704,1,0,1,0,,126;19
797,319.192,5e-06,322.415,322.415,1,0,1,0,,13;12
815,327.127,5e-06,3630.25,3630.25,1,1,1,1,,18;764
817,328.092,5e-06,3542.94,3542.94,3,0,3,0,,35;36
1127,550.119,5e-06,256.797,256.797,0,1,0,1,,9;422
1243,641.607,5e-06,78.544,78.544,1,0,1,0,,797;14
1331,720.151,5e-06,641.923,641.923,1,0,1,0,,1243;73
1407,797.246,5e-06,8373.15,8373.15,3,0,3,0,,488;609
1416,806.916,5e-06,215.723,215.723,0,1,0,1,,1127;8
1619,1022.64,5e-06,587.417,587.417,0,0,0,0,,150;1416
1837,1362.07,5e-06,2508.96,2508.96,1,0,1,0,,1331;17
1921,1507.04,5e-06,8113.21,8113.21,2,0,2,0,,697;744
1971,1610.06,5e-06,2347.32,2347.32,0,0,0,0,,1619;7
2611,3871.03,5e-06,106.632,106.632,0,0,0,0,,1837;817
2637,3957.38,5e-06,20.2859,20.2859,0,1,0,1,,815;1971
2642,3977.66,5e-06,5192.73,5192.73,0,0,0,0,,2637;2611
3049,9170.39,5e-06,449.86,449.86,0,1,0,1,,1407;2642
3073,9620.25,5e-06,0,0,0,0,0,0,,3049;1921
