run,hop,current_x,event,event_time,raw_delta_x,used_delta_x,next_x
0,0,0,coalescence_fallback,18443.6,,,
0,0,0,hop_summary,,727.947,727.947,727.947
0,1,727.947,coalescence_fallback,16777.6,,,
0,1,727.947,hop_summary,,246.653,246.653,974.6
0,2,974.6,coalescence_fallback,11395.1,,,
0,2,974.6,hop_summary,,390.554,390.554,1365.15
0,3,1365.15,coalescence_fallback,23924.1,,,
0,3,1365.15,hop_summary,,3134.95,3134.95,4500.1
0,4,4500.1,coalescence_fallback,14780.7,,,
0,4,4500.1,hop_summary,,72.3566,72.3566,4572.46
0,5,4572.46,coalescence_fallback,13445.6,,,
0,5,4572.46,hop_summary,,66.4559,66.4559,4638.92
0,6,4638.92,coalescence_fallback,48018.1,,,
0,6,4638.92,hop_summary,,394.625,394.625,5033.54
0,7,5033.54,coalescence_fallback,90754.5,,,
0,7,5033.54,hop_summary,,25.1436,25.1436,5058.69
0,8,5058.69,coalescence_fallback,50272.4,,,
0,8,5058.69,hop_summary,,1.81795,1.81795,5060.5
0,9,5060.5,coalescence_fallback,72453.2,,,
0,9,5060.5,hop_summary,,0.412977,0.412977,5060.92
0,10,5060.92,coalescence_fallback,56845.9,,,
0,10,5060.92,hop_summary,,78.2237,78.2237,5139.14
0,11,5139.14,coalescence_fallback,52181.1,,,
0,11,5139.14,hop_summary,,42.082,42.082,5181.22
0,12,5181.22,coalescence_fallback,75584.1,,,
0,12,5181.22,hop_summary,,28.5238,28.5238,5209.75
0,13,5209.75,coalescence_fallback,59209.7,,,
0,13,5209.75,hop_summary,,45.124,45.124,5254.87
0,14,5254.87,coalescence_fallback,75769.8,,,
0,14,5254.87,hop_summary,,81.5879,81.5879,5336.46
0,15,5336.46,coalescence,51000.2,,,
0,15,5336.46,hop_summary,,47.442,47.442,5383.9
0,16,5383.9,coalescence_fallback,47619.7,,,
0,16,5383.9,hop_summary,,107.182,107.182,5491.08
0,17,5491.08,coalescence_fallback,81513,,,
0,17,5491.08,hop_summary,,24.9895,24.9895,5516.07
