run,hop,x_start,x_end,node_id,parent_id,time,pop,inversion
0,0,0,0,2,-1,53076.862505774043,0,0
0,0,0,0,0,2,0,0,0
0,0,0,0,1,2,0,1,0
0,1,0,2230.4181468737943,3,-1,14896.419537708545,0,0
0,1,0,2230.4181468737943,0,3,0,0,0
0,1,0,2230.4181468737943,2,3,10000,0,0
0,1,0,2230.4181468737943,1,2,0,1,0
0,2,2230.4181468737943,4204.6992088153856,3,-1,13752.357207884375,0,0
0,2,2230.4181468737943,4204.6992088153856,2,3,10000,0,0
0,2,2230.4181468737943,4204.6992088153856,1,2,0,1,0
0,2,2230.4181468737943,4204.6992088153856,0,3,0,0,0
0,3,4204.6992088153856,7352.3408758110945,3,-1,13011.945421354754,0,0
0,3,4204.6992088153856,7352.3408758110945,2,3,10000,0,0
0,3,4204.6992088153856,7352.3408758110945,1,2,0,1,0
0,3,4204.6992088153856,7352.3408758110945,0,3,0,0,0
0,4,7352.3408758110945,11819.827819937636,3,-1,10178.962424381669,0,0
0,4,7352.3408758110945,11819.827819937636,2,3,10000,0,0
0,4,7352.3408758110945,11819.827819937636,1,2,0,1,0
0,4,7352.3408758110945,11819.827819937636,0,3,0,0,0
0,5,11819.827819937636,13279.602048116722,3,-1,11871.877918364306,0,0
0,5,11819.827819937636,13279.602048116722,0,3,0,0,0
0,5,11819.827819937636,13279.602048116722,2,3,10000,0,0
0,5,11819.827819937636,13279.602048116722,1,2,0,1,0
0,6,13279.602048116722,20950.203536824152,3,-1,19855.553324596527,0,0
0,6,13279.602048116722,20950.203536824152,0,3,0,0,0
0,6,13279.602048116722,20950.203536824152,2,3,10000,0,0
0,6,13279.602048116722,20950.203536824152,1,2,0,1,0
0,7,20950.203536824152,22312.718153328737,3,-1,29059.373044600659,0,0
0,7,20950.203536824152,22312.718153328737,2,3,10000,0,0
0,7,20950.203536824152,22312.718153328737,1,2,0,1,0
0,7,20950.203536824152,22312.718153328737,0,3,0,0,0
0,8,22312.718153328737,22727.194803583901,3,-1,26991.547822714288,0,0
0,8,22312.718153328737,22727.194803583901,2,3,10000,0,0
0,8,22312.718153328737,22727.194803583901,1,2,0,1,0
0,8,22312.718153328737,22727.194803583901,0,3,0,0,0
0,9,22727.194803583901,24166.798099026924,3,-1,37851.154559584131,0,0
0,9,22727.194803583901,24166.798099026924,0,3,0,0,0
0,9,22727.194803583901,24166.798099026924,2,3,10000,0,0
0,9,22727.194803583901,24166.798099026924,1,2,0,1,0
0,10,24166.798099026924,25230.749442461365,3,-1,27427.788157422779,0,0
0,10,24166.798099026924,25230.749442461365,0,3,0,0,0
0,10,24166.798099026924,25230.749442461365,2,3,10000,0,0
0,10,24166.798099026924,25230.749442461365,1,2,0,1,0
0,11,25230.749442461365,26187.414591972716,3,-1,14743.046692516367,0,0
0,11,25230.749442461365,26187.414591972716,2,3,10000,0,0
0,11,25230.749442461365,26187.414591972716,1,2,0,1,0
0,11,25230.749442461365,26187.414591972716,0,3,0,0,0
0,12,26187.414591972716,29984.020464447396,3,-1,10269.714241013575,0,0
0,12,26187.414591972716,29984.020464447396,2,3,10000,0,0
0,12,26187.414591972716,29984.020464447396,1,2,0,1,0
0,12,26187.414591972716,29984.020464447396,0,3,0,0,0
0,13,29984.020464447396,36694.92351652158,3,-1,24456.409638104284,0,0
0,13,29984.020464447396,36694.92351652158,2,3,10000,0,0
0,13,29984.020464447396,36694.92351652158,1,2,0,1,0
0,13,29984.020464447396,36694.92351652158,0,3,0,0,0
0,14,36694.92351652158,39054.596328166997,3,-1,15909.103135325808,0,0
0,14,36694.92351652158,39054.596328166997,2,3,10000,0,0
0,14,36694.92351652158,39054.596328166997,1,2,0,1,0
0,14,36694.92351652158,39054.596328166997,0,3,0,0,0
0,15,39054.596328166997,44809.44423464439,3,-1,15361.915501279111,0,0
0,15,39054.596328166997,44809.44423464439,2,3,10000,0,0
0,15,39054.596328166997,44809.44423464439,1,2,0,1,0
0,15,39054.596328166997,44809.44423464439,0,3,0,0,0
0,16,44809.44423464439,50070.796850392035,3,-1,24700.442731014187,0,0
0,16,44809.44423464439,50070.796850392035,2,3,10000,0,0
0,16,44809.44423464439,50070.796850392035,1,2,0,1,0
0,16,44809.44423464439,50070.796850392035,0,3,0,0,0
0,17,50070.796850392035,51294.565769748137,3,-1,17502.878854997343,0,0
0,17,50070.796850392035,51294.565769748137,2,3,10000,0,0
0,17,50070.796850392035,51294.565769748137,1,2,0,1,0
0,17,50070.796850392035,51294.565769748137,0,3,0,0,0
0,18,51294.565769748137,51605.413830876663,3,-1,17929.469722843805,0,0
0,18,51294.565769748137,51605.413830876663,2,3,10000,0,0
0,18,51294.565769748137,51605.413830876663,1,2,0,1,0
0,18,51294.565769748137,51605.413830876663,0,3,0,0,0
0,19,51605.413830876663,55130.309589945122,3,-1,17603.745430481449,0,0
0,19,51605.413830876663,55130.309589945122,0,3,0,0,0
0,19,51605.413830876663,55130.309589945122,2,3,10000,0,0
0,19,51605.413830876663,55130.309589945122,1,2,0,1,0
0,20,55130.309589945122,60115.608911896554,3,-1,37009.310925078185,0,0
0,20,55130.309589945122,60115.608911896554,0,3,0,0,0
0,20,55130.309589945122,60115.608911896554,2,3,10000,0,0
0,20,55130.309589945122,60115.608911896554,1,2,0,1,0
0,21,60115.608911896554,60213.987732555026,3,-1,13872.240476382336,0,0
0,21,60115.608911896554,60213.987732555026,2,3,10000,0,0
0,21,60115.608911896554,60213.987732555026,1,2,0,1,0
0,21,60115.608911896554,60213.987732555026,0,3,0,0,0
0,22,60213.987732555026,62621.437789826028,3,-1,19818.392865071382,0,0
0,22,60213.987732555026,62621.437789826028,0,3,0,0,0
0,22,60213.987732555026,62621.437789826028,2,3,10000,0,0
0,22,60213.987732555026,62621.437789826028,1,2,0,1,0
0,23,62621.437789826028,62901.540935291407,3,-1,20921.962663507013,0,0
0,23,62621.437789826028,62901.540935291407,2,3,10000,0,0
0,23,62621.437789826028,62901.540935291407,1,2,0,1,0
0,23,62621.437789826028,62901.540935291407,0,3,0,0,0
0,24,62901.540935291407,64348.147704517905,3,-1,15323.8620366021,0,0
0,24,62901.540935291407,64348.147704517905,0,3,0,0,0
0,24,62901.540935291407,64348.147704517905,2,3,10000,0,0
0,24,62901.540935291407,64348.147704517905,1,2,0,1,0
